date,maxtp,mintp,rain,cbl,wdsp,hm,ind,ddhm,ind,hg
01-Jan-20,8.9,4.8,0,1016.9,4.9,13,0,200,0,21
02-Jan-20,11.6,6.3,5.5,1003.8,12.6,21,0,330,0,30
03-Jan-20,9.4,3,0.1,1018.5,6.1,11,0,320,0,16
04-Jan-20,9.5,5.9,1.8,1025.8,7.5,13,0,230,0,20
05-Jan-20,10.8,7.7,0.9,1017,9.5,14,0,180,0,24
06-Jan-20,10.2,4.8,8.6,1005.2,10.6,18,0,180,0,33
07-Jan-20,13.5,6.8,4.5,1005,13.7,23,0,230,0,36
08-Jan-20,8.6,4,4.2,1009.1,5.4,12,0,80,0,22
09-Jan-20,5.5,2.4,1.7,1006.4,4.5,11,0,80,0,22
10-Jan-20,10.7,-0.2,4.1,1011.2,9.3,18,0,200,0,27
11-Jan-20,12.4,6.3,19.7,1003.7,10.9,20,0,190,0,33
12-Jan-20,8.2,3.7,3.7,1007.4,6.5,14,0,220,0,25
13-Jan-20,9.2,3.1,11.1,987.3,16.1,27,0,210,0,47
14-Jan-20,5.8,2.7,10.2,979.4,9.2,16,0,260,0,28
15-Jan-20,8.2,3,3.1,991.3,10.4,21,0,220,0,34
16-Jan-20,10.8,4.1,2.5,991.2,12.3,23,0,150,0,37
17-Jan-20,6.7,-2,0.2,1007.3,5.3,11,0,300,0,16
18-Jan-20,6.8,-4.1,0.1,1026,1.8,4,0,10,0,6
19-Jan-20,6.5,-4.4,0.1,1037.9,3.7,8,0,200,0,12
20-Jan-20,8.2,0.8,0.2,1040.2,6,10,0,190,0,16
21-Jan-20,8.6,6.7,0.1,1037.7,3.7,7,0,250,0,12
22-Jan-20,9.2,5.3,0.2,1034.1,1.5,3,0,230,0,5
23-Jan-20,7.4,4.2,0.4,1026.8,2.2,5,0,200,0,7
24-Jan-20,8.2,5.3,0.9,1017,4.7,8,0,190,0,13
25-Jan-20,9.3,6,0.1,1004.2,8,12,0,190,0,20
26-Jan-20,9.4,2.5,7.8,994.1,8.4,17,0,170,0,31
27-Jan-20,4.4,-0.1,9,985.9,7.7,19,0,240,0,35
28-Jan-20,6,0.2,3.8,991,8.6,19,0,310,0,29
29-Jan-20,9.4,2.7,0.8,998.9,9.8,18,0,240,0,31
30-Jan-20,10.3,4.7,0.8,994.2,9,19,0,240,0,31
31-Jan-20,12,8.2,12.5,990.5,14.9,21,0,230,0,37
01-Feb-20,10.9,6,3.5,994.1,11.2,22,0,230,0,37
02-Feb-20,10.8,4,4.3,997.2,11.9,20,0,220,0,35
